,PESEL,Imię,Nazwisko,Płeć,Stanowisko,Adres,Data_zatrudnienia,Komisariat_FK
51,93012472118,Krzysztof,Becker,Mężczyzna,aspirant,"plac Żytnia 81
13-776 Zawiercie",2019-01-17,4
52,28110936273,Artur,Płaneta,Mężczyzna,komendant,"ulica Klonowa 15/13
28-002 Sopot",1986-02-04,9
53,40100449824,Róża,Kandora,Kobieta,aspirant,"aleja Starowiejska 10
41-943 Ostrołęka",2020-08-08,3
54,57081444128,Apolonia,Grabas,Kobieta,inspektor,"aleja Wczasowa 83
68-816 Olkusz",2002-05-31,4
55,67122077592,Tymoteusz,Madzia,Mężczyzna,komendant,"aleja Podgórna 64/28
47-739 Katowice",1990-10-17,1
56,45100973216,Arkadiusz,Wyroślak,Mężczyzna,funkcjonariusz,"ulica Kowalska 68/38
12-346 Dąbrowa Górnicza",2012-04-16,6
57,43091086418,Mariusz,Osada,Mężczyzna,komendant,"ul. Grottgera 898
95-541 Żagań",1990-06-30,8
58,44012381313,Daniel,Latek,Mężczyzna,komisarz,"ul. Odrzańska 007
65-204 Zielona Góra",2010-04-07,6
59,55090272112,Kacper,Woda,Mężczyzna,sierżant,"plac Krańcowa 14/38
45-285 Płońsk",1987-09-28,4
60,40122876040,Anastazja,Wasążnik,Kobieta,komendant,"ul. Plażowa 207
09-081 Głogów",1992-01-09,1
61,64121748340,Marika,Potyrała,Kobieta,sierżant,"ul. Wyzwolenia 405
26-744 Szczecinek",2012-05-03,6
62,38013142255,Julian,Tomalik,Mężczyzna,komisarz,"aleja Żabia 674
42-370 Kutno",1987-10-31,7
63,64041432097,Józef,Zimniak,Mężczyzna,sierżant,"aleja Hallera 117
64-661 Jastrzębie-Zdrój",1995-12-23,8
64,97020545424,Anastazja,Mendak,Kobieta,komendant,"plac Parkowa 04/03
38-327 Legionowo",2022-07-08,2
65,49072804684,Eliza,Gamrat,Kobieta,aspirant,"pl. Błękitna 13
79-718 Cieszyn",2002-04-06,7
66,31050466599,Miłosz,Paszkowiak,Mężczyzna,sierżant,"al. Lipowa 49/23
04-632 Bydgoszcz",2015-05-14,0
67,31101689254,Kornel,Żołna,Mężczyzna,aspirant,"al. Wschodnia 027
15-912 Olkusz",1995-09-13,0
68,41072699587,Kamila,Marko,Kobieta,inspektor,"al. Jabłoniowa 80/02
75-377 Luboń",1984-12-15,3
69,77032737619,Michał,Miksza,Mężczyzna,nadkomisarz,"pl. Skłodowskiej-Curie 05
93-749 Świnoujście",2015-12-17,7
70,74101474242,Sandra,Bugno,Kobieta,nadkomisarz,"aleja Kolonia 913
40-206 Mysłowice",2016-04-19,6
71,27071958405,Anita,Jajko,Kobieta,funkcjonariusz,"ul. Browarna 784
30-686 Środa Wielkopolska",1989-03-02,3
72,45093054938,Grzegorz,Dyrek,Mężczyzna,aspirant,"ulica Fabryczna 86/10
89-348 Katowice",1986-05-07,1
73,29070107828,Kalina,Burchardt,Kobieta,komendant,"al. Witosa 571
14-386 Inowrocław",2002-08-28,7
74,34090146153,Jędrzej,Styrna,Mężczyzna,aspirant,"ulica Strzelecka 87/68
34-563 Ostrów Wielkopolski",2000-10-30,5
75,42020665571,Tobiasz,Goj,Mężczyzna,funkcjonariusz,"plac Osiedlowa 093
20-638 Chrzanów",1999-02-21,5
76,98120714626,Agnieszka,Dziczek,Kobieta,sierżant,"al. Kruczkowskiego 632
30-301 Gorzów Wielkopolski",2019-08-17,4
77,78083133157,Marcel,Smyl,Mężczyzna,funkcjonariusz,"ulica Lipca 75/48
01-384 Czerwionka-Leszczyny",2016-02-22,9
78,69111805971,Leon,Wawrzyńczyk,Mężczyzna,aspirant,"ul. Chabrowa 983
47-850 Koszalin",2003-10-04,9
79,73061298015,Grzegorz,Tasarz,Mężczyzna,sierżant,"pl. Spacerowa 186
95-983 Suwałki",2009-06-15,4
80,64032629949,Melania,Krystkowiak,Kobieta,funkcjonariusz,"al. Miła 27/68
51-792 Żary",2005-04-08,1
81,58031326600,Melania,Gmurczyk,Kobieta,komendant,"al. Szafirowa 63
57-209 Kędzierzyn-Koźle",2023-03-18,5
82,56010157939,Mariusz,Tylman,Mężczyzna,komendant,"pl. Zacisze 76
79-574 Grodzisk Mazowiecki",2001-06-07,7
83,78052116565,Janina,Klęk,Kobieta,sierżant,"plac Perłowa 353
09-033 Mielec",1997-07-22,0
84,32071349993,Karol,Niechciał,Mężczyzna,komisarz,"plac Cicha 79/66
64-302 Siedlce",2016-07-03,2
85,25122635682,Klara,Droździel,Kobieta,komisarz,"plac Rzemieślnicza 40
07-190 Malbork",1991-04-16,1
86,41112889233,Adam,Bracha,Mężczyzna,komendant,"ul. Niepodległości 875
52-817 Gniezno",2011-05-20,7
87,31110797919,Ryszard,Wojaczek,Mężczyzna,inspektor,"plac Fabryczna 29/97
73-801 Warszawa",1984-08-09,3
88,60111928721,Agnieszka,Liss,Kobieta,sierżant,"plac Powstańców Wielkopolskich 63
74-992 Czechowice-Dziedzice",2013-05-15,6
89,39060508535,Marek,Gierach,Mężczyzna,komendant,"pl. Swierkowa 40/23
27-217 Gorzów Wielkopolski",2015-03-23,0
90,66021939336,Borys,Nędzi,Mężczyzna,sierżant,"ul. Tulipanowa 94/49
60-889 Żagań",1991-12-18,3
91,31012537691,Tymoteusz,Filiks,Mężczyzna,komisarz,"ul. Zaułek 16/95
77-514 Gliwice",2011-12-23,1
92,54100369035,Adam,Bienia,Mężczyzna,sierżant,"al. Dworcowa 60
77-363 Biłgoraj",1999-06-01,9
93,56072432353,Marek,Dziuda,Mężczyzna,funkcjonariusz,"aleja Jesionowa 69
06-473 Śrem",1997-02-12,4
94,74062573363,Marika,Pysz,Kobieta,komendant,"ulica Wrocławska 29/14
53-829 Sosnowiec",2000-01-22,4
95,74102949440,Gaja,Siembab,Kobieta,nadkomisarz,"al. Rajska 46/85
98-667 Piotrków Trybunalski",2014-01-20,3
96,35053081092,Maciej,Garbaciak,Mężczyzna,sierżant,"ulica Źródlana 383
85-169 Mińsk Mazowiecki",2017-05-24,5
97,36022315671,Sebastian,Rutowicz,Mężczyzna,komendant,"ul. Srebrna 45
49-514 Rybnik",2002-05-18,9
98,52011812185,Gaja,Plona,Kobieta,nadkomisarz,"ulica Korczaka 166
19-873 Racibórz",2003-11-12,3
99,65022567887,Liwia,Siedlarz,Kobieta,komisarz,"plac Poprzeczna 85/98
52-548 Ostrów Wielkopolski",2004-10-04,0
